PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Colorado,2016,42,X,1.08558,X,X,X,X,X,X,43,5,3961
States,Connecticut,2016,42,X,1.00688,X,X,X,X,X,X,41,13,4072
States,Delaware,2016,42,X,0.171703,X,X,X,X,X,X,5,13,2912
States,District of Columbia,2016,42,X,5.25217,X,X,X,X,X,X,151,2,2875
States,Florida,2016,42,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2016,42,X,1.96075,X,X,X,X,X,X,1114,55,56815
States,Hawaii,2016,42,X,1.45429,X,X,X,X,X,X,21,16,1444
States,Idaho,2016,42,X,0.55991,X,X,X,X,X,X,10,7,1786
States,Illinois,2016,42,X,1.48743,X,X,X,X,X,X,743,77,49952
States,Indiana,2016,42,X,0.573431,X,X,X,X,X,X,36,28,6278
States,Iowa,2016,42,X,0.117062,X,X,X,X,X,X,4,10,3417
States,Kansas,2016,42,X,1.27355,X,X,X,X,X,X,96,33,7538
States,Kentucky,2016,42,X,0.638821,X,X,X,X,X,X,169,32,26455
States,Louisiana,2016,42,X,1.6578,X,X,X,X,X,X,767,78,46266
States,Maine,2016,42,X,0.847302,X,X,X,X,X,X,46,28,5429
States,Maryland,2016,42,X,0.980293,X,X,X,X,X,X,97,42,9895
States,Massachusetts,2016,42,X,0.677688,X,X,X,X,X,X,198,46,29217
States,Michigan,2016,42,X,1.26664,X,X,X,X,X,X,314,72,24790
States,Minnesota,2016,42,X,1.05163,X,X,X,X,X,X,55,21,5230
States,Mississippi,2016,42,X,2.28732,X,X,X,X,X,X,424,49,18537
States,Missouri,2016,42,X,1.03819,X,X,X,X,X,X,84,19,8091
States,Montana,2016,42,X,0.20552,X,X,X,X,X,X,7,9,3406
States,Nebraska,2016,42,X,0.27907,X,X,X,X,X,X,9,15,3225
States,Nevada,2016,42,X,0.540632,X,X,X,X,X,X,96,38,17757
States,New Hampshire,2016,42,X,0.219619,X,X,X,X,X,X,9,19,4098
States,New Jersey,2016,42,X,2.53861,X,X,X,X,X,X,383,21,15087
States,New Mexico,2016,42,X,0.9464,X,X,X,X,X,X,107,27,11306
States,New York,2016,42,X,1.10167,X,X,X,X,X,X,175,65,15885
States,North Carolina,2016,42,X,0.951204,X,X,X,X,X,X,154,45,16190
States,North Dakota,2016,42,X,0.726216,X,X,X,X,X,X,10,9,1377
States,Ohio,2016,42,X,0.57097,X,X,X,X,X,X,121,72,21192
States,Oklahoma,2016,42,X,1.19471,X,X,X,X,X,X,47,17,3934
States,Oregon,2016,42,X,0.70714,X,X,X,X,X,X,41,19,5798
States,Pennsylvania,2016,42,X,0.93133,X,X,X,X,X,X,150,59,16106
States,Rhode Island,2016,42,X,0.703977,X,X,X,X,X,X,40,17,5682
States,South Carolina,2016,42,X,1.85556,X,X,X,X,X,X,102,15,5497
States,South Dakota,2016,42,X,0.826166,X,X,X,X,X,X,73,33,8836
States,Tennessee,2016,42,X,1.46531,X,X,X,X,X,X,143,51,9759
States,Texas,2016,42,X,1.84806,X,X,X,X,X,X,541,114,29274
States,Utah,2016,42,X,1.0424,X,X,X,X,X,X,192,37,18419
States,Vermont,2016,42,X,0.551315,X,X,X,X,X,X,13,9,2358
States,Virginia,2016,42,X,1.62658,X,X,X,X,X,X,1519,137,93386
States,Washington,2016,42,X,0.383142,X,X,X,X,X,X,20,46,5220
States,West Virginia,2016,42,X,0.49896,X,X,X,X,X,X,168,49,33670
States,Wisconsin,2016,42,X,1.13122,X,X,X,X,X,X,45,22,3978
States,Wyoming,2016,42,X,0.640615,X,X,X,X,X,X,30,23,4683
States,Puerto Rico,2016,42,X,3.83944,X,X,X,X,X,X,198,9,5157
States,Virgin Islands,2016,42,X,1.37741,X,X,X,X,X,X,5,2,363
States,New York City,2016,42,X,1.61301,X,X,X,X,X,X,1659,78,102851
States,Alabama,2016,43,X,2.40322,X,X,X,X,X,X,185,24,7698
States,Alaska,2016,43,X,0.816327,X,X,X,X,X,X,12,6,1470
States,Arizona,2016,43,X,1.17237,X,X,X,X,X,X,303,47,25845
States,Arkansas,2016,43,X,1.19597,X,X,X,X,X,X,57,12,4766
States,California,2016,43,X,1.52383,X,X,X,X,X,X,833,130,54665
States,Colorado,2016,43,X,0.931521,X,X,X,X,X,X,37,6,3972
States,Connecticut,2016,43,X,1.14566,X,X,X,X,X,X,49,15,4277
States,Delaware,2016,43,X,0.281591,X,X,X,X,X,X,8,13,2841
States,District of Columbia,2016,43,X,5.56901,X,X,X,X,X,X,161,2,2891
States,Florida,2016,43,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2016,43,X,2.0084,X,X,X,X,X,X,1105,55,55019
States,Hawaii,2016,43,X,2.16886,X,X,X,X,X,X,28,16,1291
States,Idaho,2016,43,X,0.791557,X,X,X,X,X,X,15,8,1895
States,Illinois,2016,43,X,1.53786,X,X,X,X,X,X,742,80,48249
States,Indiana,2016,43,X,0.544438,X,X,X,X,X,X,37,27,6796
States,Iowa,2016,43,X,0.168431,X,X,X,X,X,X,7,11,4156
States,Kansas,2016,43,X,0.730121,X,X,X,X,X,X,55,34,7533
States,Kentucky,2016,43,X,1.01945,X,X,X,X,X,X,260,34,25504
States,Louisiana,2016,43,X,1.74305,X,X,X,X,X,X,855,80,49052
States,Maine,2016,43,X,0.93744,X,X,X,X,X,X,49,28,5227
States,Maryland,2016,43,X,0.840078,X,X,X,X,X,X,82,42,9761
States,Massachusetts,2016,43,X,0.630021,X,X,X,X,X,X,189,46,29999
States,Michigan,2016,43,X,1.25542,X,X,X,X,X,X,310,73,24693
States,Minnesota,2016,43,X,1.54139,X,X,X,X,X,X,73,20,4736
States,Mississippi,2016,43,X,2.60329,X,X,X,X,X,X,511,49,19629
States,Missouri,2016,43,X,1.11033,X,X,X,X,X,X,95,20,8556
States,Montana,2016,43,X,0.142005,X,X,X,X,X,X,5,9,3521
States,Nebraska,2016,43,X,0.15758,X,X,X,X,X,X,5,14,3173
States,Nevada,2016,43,X,0.58743,X,X,X,X,X,X,103,38,17534
States,New Hampshire,2016,43,X,0.332305,X,X,X,X,X,X,14,20,4213
States,New Jersey,2016,43,X,2.65366,X,X,X,X,X,X,408,22,15375
States,New Mexico,2016,43,X,1.12684,X,X,X,X,X,X,125,27,11093
States,New York,2016,43,X,0.898849,X,X,X,X,X,X,146,67,16243
States,North Carolina,2016,43,X,1.06549,X,X,X,X,X,X,184,44,17269
States,North Dakota,2016,43,X,0.966608,X,X,X,X,X,X,11,8,1138
States,Ohio,2016,43,X,0.691365,X,X,X,X,X,X,145,74,20973
States,Oklahoma,2016,43,X,2.9886,X,X,X,X,X,X,152,22,5086
States,Oregon,2016,43,X,0.631649,X,X,X,X,X,X,38,21,6016
States,Pennsylvania,2016,43,X,0.92762,X,X,X,X,X,X,142,58,15308
States,Rhode Island,2016,43,X,0.408466,X,X,X,X,X,X,22,17,5386
States,South Carolina,2016,43,X,1.92631,X,X,X,X,X,X,103,15,5347
States,South Dakota,2016,43,X,1.11313,X,X,X,X,X,X,98,33,8804
States,Tennessee,2016,43,X,1.52313,X,X,X,X,X,X,162,52,10636
States,Texas,2016,43,X,2.06247,X,X,X,X,X,X,589,114,28558
States,Utah,2016,43,X,0.834336,X,X,X,X,X,X,201,40,24091
States,Vermont,2016,43,X,0.377992,X,X,X,X,X,X,9,9,2381
States,Virginia,2016,43,X,1.85403,X,X,X,X,X,X,1673,137,90236
States,Washington,2016,43,X,0.43225,X,X,X,X,X,X,23,47,5321
States,West Virginia,2016,43,X,0.558143,X,X,X,X,X,X,169,47,30279
States,Wisconsin,2016,43,X,0.951427,X,X,X,X,X,X,38,23,3994
States,Wyoming,2016,43,X,0.517598,X,X,X,X,X,X,25,26,4830
States,Puerto Rico,2016,43,X,5.19586,X,X,X,X,X,X,256,8,4927
States,Virgin Islands,2016,43,X,1.42045,X,X,X,X,X,X,5,2,352
States,New York City,2016,43,X,1.66295,X,X,X,X,X,X,1627,82,97838
States,Alabama,2016,44,X,2.70133,X,X,X,X,X,X,213,25,7885
States,Alaska,2016,44,X,0.533689,X,X,X,X,X,X,8,6,1499
States,Arizona,2016,44,X,1.32646,X,X,X,X,X,X,265,47,19978
States,Arkansas,2016,44,X,1.32564,X,X,X,X,X,X,62,12,4677
States,California,2016,44,X,1.57619,X,X,X,X,X,X,849,132,53864
States,Colorado,2016,44,X,0.388299,X,X,X,X,X,X,15,6,3863
States,Connecticut,2016,44,X,1.67144,X,X,X,X,X,X,70,15,4188
States,Delaware,2016,44,X,0.40293,X,X,X,X,X,X,11,13,2730
States,District of Columbia,2016,44,X,4.80318,X,X,X,X,X,X,133,2,2769
States,Florida,2016,44,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2016,44,X,2.36802,X,X,X,X,X,X,1334,55,56334
States,Hawaii,2016,44,X,2.30238,X,X,X,X,X,X,30,15,1303
States,Idaho,2016,44,X,0.409417,X,X,X,X,X,X,8,7,1954
States,Illinois,2016,44,X,1.66157,X,X,X,X,X,X,804,75,48388
States,Indiana,2016,44,X,1.11749,X,X,X,X,X,X,74,27,6622
States,Iowa,2016,44,X,0.0883913,X,X,X,X,X,X,3,10,3394
States,Kansas,2016,44,X,0.785855,X,X,X,X,X,X,56,32,7126
States,Kentucky,2016,44,X,0.675377,X,X,X,X,X,X,168,33,24875
States,Louisiana,2016,44,X,1.86931,X,X,X,X,X,X,896,75,47932
States,Maine,2016,44,X,0.892028,X,X,X,X,X,X,48,28,5381
States,Maryland,2016,44,X,0.951557,X,X,X,X,X,X,88,42,9248
States,Massachusetts,2016,44,X,0.767178,X,X,X,X,X,X,230,46,29980
States,Michigan,2016,44,X,1.63981,X,X,X,X,X,X,408,73,24881
States,Minnesota,2016,44,X,0.778458,X,X,X,X,X,X,61,22,7836
States,Mississippi,2016,44,X,2.92228,X,X,X,X,X,X,555,50,18992
States,Missouri,2016,44,X,1.38921,X,X,X,X,X,X,120,20,8638
States,Montana,2016,44,X,0.112867,X,X,X,X,X,X,4,9,3544
States,Nebraska,2016,44,X,0.416295,X,X,X,X,X,X,14,15,3363
States,Nevada,2016,44,X,0.877819,X,X,X,X,X,X,160,37,18227
States,New Hampshire,2016,44,X,0.50438,X,X,X,X,X,X,19,19,3767
States,New Jersey,2016,44,X,2.76608,X,X,X,X,X,X,427,22,15437
States,New Mexico,2016,44,X,1.48677,X,X,X,X,X,X,154,27,10358
States,New York,2016,44,X,0.918,X,X,X,X,X,X,148,71,16122
States,North Carolina,2016,44,X,0.949262,X,X,X,X,X,X,171,47,18014
States,North Dakota,2016,44,X,0.187091,X,X,X,X,X,X,2,7,1069
States,Ohio,2016,44,X,0.75304,X,X,X,X,X,X,161,72,21380
States,Oklahoma,2016,44,X,2.46645,X,X,X,X,X,X,136,24,5514
States,Oregon,2016,44,X,1.05812,X,X,X,X,X,X,67,22,6332
States,Pennsylvania,2016,44,X,1.11433,X,X,X,X,X,X,177,58,15884
States,Rhode Island,2016,44,X,0.45939,X,X,X,X,X,X,25,17,5442
States,South Carolina,2016,44,X,2.07612,X,X,X,X,X,X,108,14,5202
States,South Dakota,2016,44,X,0.981892,X,X,X,X,X,X,77,33,7842
States,Tennessee,2016,44,X,2.02179,X,X,X,X,X,X,206,50,10189
States,Texas,2016,44,X,2.01191,X,X,X,X,X,X,581,112,28878
States,Utah,2016,44,X,0.762672,X,X,X,X,X,X,178,41,23339
States,Vermont,2016,44,X,0.228102,X,X,X,X,X,X,5,9,2192
States,Virginia,2016,44,X,2.00273,X,X,X,X,X,X,1834,139,91575
States,Washington,2016,44,X,0.374016,X,X,X,X,X,X,19,48,5080
States,West Virginia,2016,44,X,0.696323,X,X,X,X,X,X,175,48,25132
States,Wisconsin,2016,44,X,1.41216,X,X,X,X,X,X,59,23,4178
States,Wyoming,2016,44,X,0.707395,X,X,X,X,X,X,33,26,4665
States,Puerto Rico,2016,44,X,5.99241,X,X,X,X,X,X,221,7,3688
States,Virgin Islands,2016,44,X,2.00573,X,X,X,X,X,X,7,1,349
States,New York City,2016,44,X,1.90913,X,X,X,X,X,X,1929,79,101041
States,Alabama,2016,45,X,2.46088,X,X,X,X,X,X,195,25,7924
States,Alaska,2016,45,X,0.802469,X,X,X,X,X,X,13,6,1620
States,Arizona,2016,45,X,1.03275,X,X,X,X,X,X,245,46,23723
States,Arkansas,2016,45,X,1.64953,X,X,X,X,X,X,77,12,4668
States,California,2016,45,X,1.74694,X,X,X,X,X,X,942,136,53923
States,Colorado,2016,45,X,0.711744,X,X,X,X,X,X,28,7,3934
States,Connecticut,2016,45,X,1.74239,X,X,X,X,X,X,79,17,4534
States,Delaware,2016,45,X,0.0359324,X,X,X,X,X,X,1,13,2783
States,District of Columbia,2016,45,X,5.06375,X,X,X,X,X,X,139,2,2745
States,Florida,2016,45,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2016,45,X,2.59163,X,X,X,X,X,X,1434,56,55332
States,Hawaii,2016,45,X,2.0073,X,X,X,X,X,X,22,15,1096
States,Idaho,2016,45,X,0.662927,X,X,X,X,X,X,13,8,1961
States,Illinois,2016,45,X,1.77498,X,X,X,X,X,X,827,80,46592
States,Indiana,2016,45,X,0.864731,X,X,X,X,X,X,56,26,6476
States,Iowa,2016,45,X,0.405051,X,X,X,X,X,X,17,11,4197
States,Kansas,2016,45,X,0.977827,X,X,X,X,X,X,71,32,7261
States,Kentucky,2016,45,X,0.691474,X,X,X,X,X,X,173,33,25019
States,Louisiana,2016,45,X,2.16614,X,X,X,X,X,X,897,74,41410
States,Maine,2016,45,X,0.595775,X,X,X,X,X,X,33,29,5539
States,Maryland,2016,45,X,1.22094,X,X,X,X,X,X,115,42,9419
States,Massachusetts,2016,45,X,0.679392,X,X,X,X,X,X,210,45,30910
States,Michigan,2016,45,X,1.63886,X,X,X,X,X,X,391,70,23858
States,Minnesota,2016,45,X,0.673854,X,X,X,X,X,X,50,22,7420
States,Mississippi,2016,45,X,2.98825,X,X,X,X,X,X,575,49,19242
States,Missouri,2016,45,X,1.25032,X,X,X,X,X,X,99,20,7918
States,Montana,2016,45,X,0.215285,X,X,X,X,X,X,6,9,2787
States,Nebraska,2016,45,X,0.584966,X,X,X,X,X,X,20,14,3419
States,Nevada,2016,45,X,1.07815,X,X,X,X,X,X,189,35,17530
States,New Hampshire,2016,45,X,0.461277,X,X,X,X,X,X,19,21,4119
States,New Jersey,2016,45,X,2.6012,X,X,X,X,X,X,356,20,13686
States,New Mexico,2016,45,X,1.35087,X,X,X,X,X,X,151,28,11178
States,New York,2016,45,X,1.22738,X,X,X,X,X,X,194,69,15806
States,North Carolina,2016,45,X,1.40114,X,X,X,X,X,X,243,47,17343
States,North Dakota,2016,45,X,0.158604,X,X,X,X,X,X,2,7,1261
States,Ohio,2016,45,X,0.761227,X,X,X,X,X,X,139,69,18260
States,Oklahoma,2016,45,X,2.4456,X,X,X,X,X,X,118,20,4825
States,Oregon,2016,45,X,1.35724,X,X,X,X,X,X,81,22,5968
States,Pennsylvania,2016,45,X,1.18041,X,X,X,X,X,X,187,58,15842
States,Rhode Island,2016,45,X,0.452133,X,X,X,X,X,X,23,17,5087
States,South Carolina,2016,45,X,1.57226,X,X,X,X,X,X,78,13,4961
States,South Dakota,2016,45,X,1.08992,X,X,X,X,X,X,96,34,8808
States,Tennessee,2016,45,X,1.76655,X,X,X,X,X,X,163,52,9227
States,Texas,2016,45,X,2.08512,X,X,X,X,X,X,607,116,29111
States,Utah,2016,45,X,1.02498,X,X,X,X,X,X,247,41,24098
States,Vermont,2016,45,X,0.209293,X,X,X,X,X,X,5,9,2389
States,Virginia,2016,45,X,1.96096,X,X,X,X,X,X,1741,137,88783
States,Washington,2016,45,X,0.451516,X,X,X,X,X,X,21,38,4651
States,West Virginia,2016,45,X,0.696646,X,X,X,X,X,X,178,50,25551
States,Wisconsin,2016,45,X,1.27009,X,X,X,X,X,X,49,22,3858
States,Wyoming,2016,45,X,0.840729,X,X,X,X,X,X,36,24,4282
States,Puerto Rico,2016,45,X,7.06095,X,X,X,X,X,X,351,8,4971
States,Virgin Islands,2016,45,X,3.7037,X,X,X,X,X,X,14,1,378
States,New York City,2016,45,X,2.06473,X,X,X,X,X,X,2044,78,98996
States,Alabama,2016,46,X,2.81762,X,X,X,X,X,X,222,21,7879
States,Alaska,2016,46,X,1.1215,X,X,X,X,X,X,18,6,1605
States,Arizona,2016,46,X,1.38904,X,X,X,X,X,X,389,55,28005
States,Arkansas,2016,46,X,1.76317,X,X,X,X,X,X,81,12,4594
States,California,2016,46,X,1.7768,X,X,X,X,X,X,993,133,55887
States,Colorado,2016,46,X,1.04565,X,X,X,X,X,X,41,7,3921
States,Connecticut,2016,46,X,1.62124,X,X,X,X,X,X,69,18,4256
States,Delaware,2016,46,X,0.138169,X,X,X,X,X,X,4,13,2895
States,District of Columbia,2016,46,X,5.50796,X,X,X,X,X,X,135,2,2451
States,Florida,2016,46,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2016,46,X,2.56566,X,X,X,X,X,X,1440,56,56126
States,Hawaii,2016,46,X,1.69014,X,X,X,X,X,X,24,16,1420
States,Idaho,2016,46,X,0.675676,X,X,X,X,X,X,13,8,1924
States,Illinois,2016,46,X,1.87003,X,X,X,X,X,X,899,78,48074
States,Indiana,2016,46,X,0.560486,X,X,X,X,X,X,36,26,6423
States,Iowa,2016,46,X,0.402646,X,X,X,X,X,X,14,10,3477
States,Kansas,2016,46,X,1.02956,X,X,X,X,X,X,70,29,6799
States,Kentucky,2016,46,X,1.17578,X,X,X,X,X,X,259,31,22028
States,Louisiana,2016,46,X,2.10318,X,X,X,X,X,X,980,79,46596
States,Maine,2016,46,X,0.761062,X,X,X,X,X,X,43,29,5650
States,Maryland,2016,46,X,0.899032,X,X,X,X,X,X,91,41,10122
States,Massachusetts,2016,46,X,0.807039,X,X,X,X,X,X,255,44,31597
States,Michigan,2016,46,X,1.6545,X,X,X,X,X,X,401,74,24237
States,Minnesota,2016,46,X,0.954766,X,X,X,X,X,X,61,20,6389
States,Mississippi,2016,46,X,2.68891,X,X,X,X,X,X,432,49,16066
States,Missouri,2016,46,X,1.40548,X,X,X,X,X,X,120,21,8538
States,Montana,2016,46,X,0.145858,X,X,X,X,X,X,5,8,3428
States,Nebraska,2016,46,X,0.409707,X,X,X,X,X,X,13,15,3173
States,Nevada,2016,46,X,0.887933,X,X,X,X,X,X,161,36,18132
States,New Hampshire,2016,46,X,0.353857,X,X,X,X,X,X,15,20,4239
